Word,Association Semantic/Category,Association Functional,Association Multiple Meanings,Association Metaphorical/Symbolic,Association Idioms/Phrases,Association Wordplay,Association Visual,Association Emotional,Association Cultural/Historical,Association Overall,Gameplay Recognizability,Gameplay Inoffensiveness,Gameplay Evocativeness,Gameplay Fun,Gameplay Overall
africa,7,3,1,6,5,2,6,5,8,7,9,10,8,7,7
america,7,3,4,7,7,3,7,7,9,8,9,10,9,8,8
amp,5,6,7,7,5,5,5,5,5,7,6,10,7,6,6
anchorman,4,4,1,3,2,3,5,4,6,4,6,10,6,5,5
androids,6,6,1,5,4,2,6,6,6,6,6,10,7,7,7
antarctica,5,4,1,6,2,3,6,6,5,5,8,10,8,7,7
appreciable,4,1,2,2,4,3,2,3,4,2,3,10,2,2,2
armstrong,4,3,5,5,2,6,5,4,6,4,5,10,6,5,5
aromatherapy,2,3,1,2,2,2,3,5,3,1,5,10,4,4,4
around,6,5,3,5,4,4,4,3,4,5,9,10,4,5,5
asia,7,3,1,6,5,3,6,5,8,7,9,10,8,7,7
austin,3,2,3,2,3,2,4,3,5,2,4,10,4,3,3
ballets,5,5,1,6,2,2,6,6,6,5,7,10,7,6,6
barracks,5,5,1,6,2,2,5,4,5,4,7,10,7,5,5
belgium,4,3,1,3,2,2,4,4,6,3,4,10,5,4,4
big,8,4,1,4,7,5,5,5,5,7,10,10,8,8,8
boeing,5,5,1,5,2,4,6,5,5,4,8,10,7,7,7
bookcase,5,5,1,5,2,3,5,5,5,4,8,10,6,6,6
calmly,4,6,1,4,3,2,3,6,4,4,8,10,6,6,6
cat's,4,3,1,4,4,3,4,5,3,4,8,10,5,6,5
cocaine,6,5,1,6,4,2,6,7,5,6,7,6,8,7,7
colorado,5,3,1,3,2,2,4,3,4,2,4,10,5,4,4
common,7,4,5,4,6,4,4,4,5,6,9,10,4,5,5
compare,4,6,1,4,4,3,3,6,5,4,8,10,4,5,5
crucial,4,6,1,4,3,3,3,5,5,4,7,10,6,6,5
darwin,4,3,4,6,3,2,4,3,7,4,6,9,7,7,7
deny,3,5,3,4,4,2,3,6,5,4,8,10,6,5,5
done,4,7,4,6,5,4,3,6,5,7,9,10,6,7,7
doorknob,5,4,1,4,3,2,5,2,2,4,8,10,5,5,5
down,7,6,7,8,8,7,5,7,4,9,9,10,7,8,8
end,7,7,6,7,7,5,6,7,6,9,9,10,7,8,8
establish,4,6,1,4,4,2,4,5,6,4,6,10,5,5,5
eu,6,3,1,5,3,3,4,3,7,5,8,10,7,6,6
europe,7,3,1,6,5,2,6,5,8,7,9,10,8,7,7
france,7,3,1,6,4,4,5,6,8,7,9,10,8,7,7
full,5,6,3,6,6,7,4,6,4,7,9,10,7,7,7
gogh,4,2,1,4,1,3,7,5,6,3,2,10,4,2,2
